question,rewritten_question,ground_truth,generated_answer,context,distance,confidence,retrieved_index
How long was Lincoln's legal Career?,How long was Lincoln's legal career?,23 years,1837,"In 1834, he won election to the state legislature, and after coming across the Commentaries on the Laws of England, began to teach himself law. Admitted to the bar in 1837, he moved to Springfield, Illinois, that same year and began to practice law with John T. Stuart. With a reputation as a formidable adversary during cross-examinations and in his closing arguments, Lincoln became one of the most respected and successful lawyers in Illinois and grew steadily more prosperous.",0.77690434,high,292
What trail did Lincoln use a Farmers' Almanac in? ,What trail did Lincoln use a Farmers' Almanac in?,"he defended William ""Duff"" Armstrong",Information not found in context,"For several months, Lincoln ran a small store in New Salem, selling tea, coffee, sugar, salt, blue calico, brown muslin, straw hats and whiskey.  Beveridge (1928) 1:127-8  Later, he found work as village postmaster and as a surveyor.",0.99413085,low,291
Did Abraham Lincoln live in the Frontier?,Did Abraham Lincoln live in the frontier?,Yes,yes,Young Abraham Lincoln,0.73945683,high,288
Did Lincoln's Wife's Family support slavery?,Did Lincoln's Wife's Family support slavery?,Yes,Yes,"On November 4 1842 Lincoln married Mary Todd, daughter of a prominent slave-owning family from Kentucky. The couple had four sons. Robert Todd Lincoln was born in Springfield, Illinois on 1 August, 1843. Their only child to survive into adulthood, young Robert attended Phillips Exeter Academy and Harvard College. Robert died on July 26, 1926, in Manchester, Vermont.",0.77621996,high,296
Who is most noted for his contributions to the theory of molarity and molecular weight?,Who is most noted for his contributions to the theory of molarity and molecular weight?,Amedeo Avogadro,Information not found in context,"Lorenzo Romano Amedeo Carlo Avogadro, Count of Quaregna and Cerreto (August 9, 1776 July 9, 1856) was an Italian savant.  He is most noted for his contributions to the theory of molarity and molecular weight. As a tribute to him, the number of elementary entities (atoms, molecules, ions or other particles) in one mole of a substance, 6.02214199x10 23 , is known as Avogadro's number.",0.7856827,low,724
Who graduated in ecclesiastical law at the early age of 20 and began to practice?,Who graduated in ecclesiastical law at the early age of 20?,Amedeo Avogadro,He,He graduated in ecclesiastical law at  the early age of 20 and began to practice.,0.29363286,high,726
When did he publish another memoria?,When did he publish another memoria?,1821,Information not found in context,"In 1821 he published another memoria, Nouvelles considérations sur la théorie des proportions déterminées dans les combinaisons, et sur la détermination des masses des molécules des corps and little after Mémoire sur la manière de ramener les composès organiques aux lois ordinaires des proportions déterminées.",0.9139849,low,742
When did he become a professor?,When did he become a professor?,1820,Information not found in context,"He was elected a member of the Royal Society in 1824, appointed director of the laboratory in 1825; and in 1833 he was appointed Fullerian professor of chemistry in the institution for life, without the obligation to deliver lectures.",0.8468611,low,86
Is it true that he became a professor in 1820?,Is it true that he became a professor in 1820?,yes,Information not found in context,"He was active in the political revolutionary movements of 1821 against the king of Sardinia, and as a result, was removed from his chair in 1823 (or, as officially declared, the university was ""very glad to allow this interesting scientist to take a rest from heavy teaching duties, in order to be able to give a better attention to his researches"") .",0.8543806,low,730
Was Lorenzo Romano Amedeo Carlo Avogadro an Italian savant?,Is Lorenzo Romano Amedeo Carlo Avogadro an Italian savant?,yes,yes,"Lorenzo Romano Amedeo Carlo Avogadro, Count of Quaregna and Cerreto (August 9, 1776 July 9, 1856) was an Italian savant.  He is most noted for his contributions to the theory of molarity and molecular weight. As a tribute to him, the number of elementary entities (atoms, molecules, ions or other particles) in one mole of a substance, 6.02214199x10 23 , is known as Avogadro's number.",0.77663815,high,724
"Was Amedeo Avogadro born in Turin August 9th 1776 to a noble ancient family of Piedmont, Italy?",Amedeo Avogadro was born in what city?,yes,Turin,"Amedeo Avogadro was born in Turin August 9th 1776 to a noble ancient family of Piedmont,  Italy.",0.3618186,high,725
Is he most noted for his contributions to the theory of molarity and molecular weight?,Is he most noted for his contributions to the theory of molarity and molecular weight?,yes,Information not found in context,"Clausius, by his kinetic theory on gases, was able to give another confirmation of Avogadro's law. Not long after, in his researches regarding dilute solutions (and the consequent discovery of analogies between the behaviour of solutions and gases), J. H. van 't Hoff added his final consensus for the triumph of the Italian scientist, who since then has been considered the founder of the atomic-molecular theory.",0.7981841,low,748
Was King Victor Emmanuel III there to pay homage to Avogadro ?,Did King Victor Emmanuel III visit Avogadro?,yes,Yes,"In 1911, a historic meeting took place in Turin to commemorate the hundredth anniversary of the publication of Avogadro's classic 1811 memoir. King Victor Emmanuel III was there to pay homage to Avogadro. Thus Avogadro's great contribution to chemistry was recognised and he is recognised as a great Italian chemist. (Note: In 1911, Victor Emmanuel III was the King of a unified Italy with Rome instead or Turin as its capital. The unification of Italy did not happen during the life time of Avogadro. In fact, Avogadro's famous 1811 paper was written in French.)",0.7791766,high,747
Is Avogadro 's number commonly used to compute the results of chemical reactions ?,Is Avogadro 's number commonly used to compute the results of chemical reactions ?,yes,Avogadro's number is commonly used,"Loschmidt first calculated the value of Avogadro's number, now called Avogadro's constant, which is still sometimes referred to as the Loschmidt number in German-language countries (Loschmidt constant now has another meaning).  Avogadro's number is commonly used to compute the results of chemical reactions. It allows chemists to determine the exact amounts of substances produced in a given reaction.",0.6337062,high,736
Did the scientific community not reserve great attention to his theory ?,Did the scientific community not reserve great attention to his theory ?,yes,Information not found in context,"The theory was never published. At the time of his announcement, it was considered by the scientific establishment to exceed the bounds of reason. Some believe that Tesla never fully developed the Unified Field Theory.",0.8641274,low,1442
Can the title of this famous 1811 paper be roughly translated into english?,Can the title of this famous 1811 paper be roughly translated into English?,yes,Information not found in context,"In 1811, he published an article with the title Essai d'une manière de déterminer les masses relatives des molécules élémentaires des corps, et les proportions selon lesquelles elles entrent dans ces combinaisons, which contains the famous Avogadro's hypothesis. The title of this famous 1811 paper can be roughly translated into English as ""Essay on Determining the Relative Masses of the Elementary Molecules of Bodies"".  (Note: At that time in 1811, northern Italy was actually under French rule during the era of Napoléon Bonaparte. Avogadro submitted his poem to a French journal. This paper was written in French, not in Italian.)",0.95230734,low,728
What happened in 1833?,What happened in 1833?,Avogadro had been recalled to Turin university,Information not found in context,The Resumption of Species Act of 1875 which was signed by Grant and helped to end the crisis in 1879 when the law came in to effect,1.1157653,low,1824
Who determined the dependence of the boiling of water with atmospheric pressure?,Who determined the dependence of the boiling of water with atmospheric pressure?,Anders Celsius,Information not found in context,"Anders Celsius was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds. In his Swedish paper ""Observations of two persistent degrees on a thermometer"" he reports on experiments to check that the freezing point is independent of latitude (and of atmospheric pressure). He determined the dependence of the boiling of water with atmospheric pressure (in excellent agreement with modern data). He further gave a rule for the determination of the boiling point if the barometric pressure deviates from a certain standard pressure  History of the Celsius temperature scale .",0.90973336,low,145
What is named after him?,What is the name of a person that is named after him?,The Celsius crater on the Moon,Information not found in context,;Origin and history of the name,0.9484075,low,2362
When did he publish a collection?,When did he publish a collection?,1733,Information not found in context,"In 1841 he completed and published his work in Fisica dei corpi ponderabili, ossia Trattato della costituzione materiale de' corpi, 4 volumes.",1.0837629,low,743
Is it true that he published a collection in 1738?,Is it true that he published a collection in 1738?,No,Information not found in context,In the 1690s Newton wrote a number of religious tracts dealing with the literal interpretation of the Bible. Henry More's belief in the universe and rejection of Cartesian dualism may have influenced Newton's religious ideas. A manuscript he sent to John Locke in which he disputed the existence of the Trinity was never published. Later works â The Chronology of Ancient Kingdoms Amended (1728) and Observations Upon the Prophecies of Daniel and the Apocalypse of St. John (1733) â were published after his death. He also devoted a great deal of time to alchemy (see above).,1.024317,low,563
Is it true that thermometer had 100 for the freezing point?,Is it true that thermometer had 100 for the freezing point?,Yes,Information not found in context,"Anders Celsius was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds. In his Swedish paper ""Observations of two persistent degrees on a thermometer"" he reports on experiments to check that the freezing point is independent of latitude (and of atmospheric pressure). He determined the dependence of the boiling of water with atmospheric pressure (in excellent agreement with modern data). He further gave a rule for the determination of the boiling point if the barometric pressure deviates from a certain standard pressure  History of the Celsius temperature scale .",0.92029667,low,145
Was Celsius born in Uppsala in Sweden?,Was Celsius born in Sweden?,Yes,yes,"Celsius was born in Uppsala in Sweden. He was professor of astronomy at Uppsala University from 1730 to 1744, but traveled from 1732 to 1735 visiting notable observatories in Germany, Italy and France.",0.42185807,high,142
"Was Anders Celsius (November 27, 1701 April 25, 1744) a Swedish astronomer?","Was Anders Celsius born on November 27, 1701 or April 25, 1744?",Yes,"November 27, 1701","Anders Celsius (November 27, 1701   April 25, 1744) was a Swedish astronomer.",0.29667065,high,141
Is The Celsius crater on the Moon named after him?,Is The Celsius crater on the Moon named after a person?,Yes,yes,The Celsius crater on the Moon is named after him.,0.17153394,high,147
Who was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds ?,Who was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds ?,Anders Celsius,Anders Celsius,"Anders Celsius was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds. In his Swedish paper ""Observations of two persistent degrees on a thermometer"" he reports on experiments to check that the freezing point is independent of latitude (and of atmospheric pressure). He determined the dependence of the boiling of water with atmospheric pressure (in excellent agreement with modern data). He further gave a rule for the determination of the boiling point if the barometric pressure deviates from a certain standard pressure  History of the Celsius temperature scale .",0.5870403,high,145
The Celsius crater on the Moon is what?,What is the largest crater on the Moon?,named after him,Celsius,The Celsius crater on the Moon is named after him.,0.7242208,high,147
Is the Celsius crater on the Moon named after him ?,Is the Celsius crater on the Moon named after a person?,Yes,yes,The Celsius crater on the Moon is named after him.,0.17153394,high,147
Had his thermometer 100 for the freezing point of water and 0 for the boiling point ?,Did he have a thermometer with a freezing point of 100 and a boiling point of 0?,Yes it had,no,"Anders Celsius was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds. In his Swedish paper ""Observations of two persistent degrees on a thermometer"" he reports on experiments to check that the freezing point is independent of latitude (and of atmospheric pressure). He determined the dependence of the boiling of water with atmospheric pressure (in excellent agreement with modern data). He further gave a rule for the determination of the boiling point if the barometric pressure deviates from a certain standard pressure  History of the Celsius temperature scale .",0.7788048,high,145
Was Celsius born in Uppsala in Sweden ?,"Was Celsius born in Uppsala, Sweden?",Yes,yes,"Celsius was born in Uppsala in Sweden. He was professor of astronomy at Uppsala University from 1730 to 1744, but traveled from 1732 to 1735 visiting notable observatories in Germany, Italy and France.",0.3494923,high,142
Did he not determine the dependence of the boiling of water with atmospheric pressure -LRB- in excellent agreement with modern data -RRB- ?,Did he not determine the dependence of the boiling of water with atmospheric pressure in excellent agreement with modern data?,Yes he did,Information not found in context,"Anders Celsius was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds. In his Swedish paper ""Observations of two persistent degrees on a thermometer"" he reports on experiments to check that the freezing point is independent of latitude (and of atmospheric pressure). He determined the dependence of the boiling of water with atmospheric pressure (in excellent agreement with modern data). He further gave a rule for the determination of the boiling point if the barometric pressure deviates from a certain standard pressure  History of the Celsius temperature scale .",0.85272884,low,145
What happened from 1730 to 1744?,What happened between 1730 and 1744?,He was professor of astronomy at Uppsala University,Information not found in context,"*Hills, Rev. Dr. Richard L., James Watt, Vol 1, His time in Scotland, 1736-1774 (2002); Vol 2, The years of toil, 1775-1785; Vol 3 Triumph through adversity 1785-1819.  Landmark Publishing Ltd, ISBN 1-84306-045-0.",0.9446217,low,1988
What happened in 1745?,What happened in 1745?,The scale was reversed,Information not found in context,"*Hills, Rev. Dr. Richard L., James Watt, Vol 1, His time in Scotland, 1736-1774 (2002); Vol 2, The years of toil, 1775-1785; Vol 3 Triumph through adversity 1785-1819.  Landmark Publishing Ltd, ISBN 1-84306-045-0.",1.0879866,low,1988
Are beetles insects?,Are beetles insects?,Yes,"many agricultural, forestry, and household insect pests","Many agricultural, forestry, and household insect pests are beetles. These include the following:",0.35192364,high,2424
Can beetles be found in polar regions?,Can beetles be found in polar regions?,No,Information not found in context,"Beetles can be found in almost all habitats, but are not known to occur in the sea or in the polar regions. They interact with their ecosystems in several ways. They often feed on plants and fungi, break down animal and plant debris, and eat other invertebrates. Some species are prey of various animals including birds and mammals. Certain species are agricultural pests, such as the Colorado potato beetle Leptinotarsa decemlineata, the boll weevil Anthonomus grandis, the red flour beetle Tribolium castaneum, and the mungbean or cowpea beetle Callosobruchus maculatus, while other species of beetles are important controls of agricultural pests. For example, coccinellidae (""ladybirds"" or ""ladybugs"") consume aphids, scale insects, thrips, and other plant-sucking insects that damage crops.",0.8282565,low,2377
Do beetles antennae function primarily as organs of smell?,Do beetles' antennae function primarily as organs of smell?,Yes,yes,"Beetles' antennae are primarily organs of smell, but may also be used to feel out a beetle's environment physically. They may also be used in some families during mating, or among a few beetles for defence. Antennae vary greatly in form within the Coleoptera, but are often similar within any given family. In some cases, males and females of the same species will have different antennal forms. Antennae may be clavate (flabellate and lamellate are sub-forms of clavate, or clubbed antennae), filiform, geniculate, moniliform, pectinate, or serrate. For images of these antennal forms see antenna (biology).",0.4321419,high,2387
What are the three sections of a beetle?,What are the three parts of a beetle?,"the head, the thorax, and the abdomen","head, the thorax, and the abdomen","The general anatomy of beetles is quite uniform, although specific organs and appendages may vary greatly in appearance and function between the many families in the order. Like all insects, beetles' bodies are divided into three sections: the head, the thorax, and the abdomen. When viewed from below, the thorax is that part from which all three pairs of legs and both pairs of wings arise. The abdomen is everything posterior to the thorax. When viewed from above, most beetles appear to have three clear sections, but this is deceptive: on the beetle's upper surface, the middle ""section"" is a hard plate called the pronotum, which is only the front part of the thorax; the back part of the thorax is concealed by the beetle's wings. Like all arthropods, beetles are segmented organisms, and all three of the major sections of the body are themselves composed of several further segments, although these are not always readily discernible. This further segmentation is usually best seen on the abdomen.",0.62284803,high,2382
Which defense mechanism uses colour or shape to deceive potential enemies?,What type of defense mechanism uses colour or shape to deceive potential enemies?,mimicry,mimicry,"Another defence that often uses colour or shape to deceive potential enemies is mimicry. A number of longhorn beetles (family Cerambycidae) bear a striking resemblance to wasps, which fools predators into keeping their distance even though the beetles are in fact harmless. This defence can be found to a lesser extent in other beetle families, such as the scarab beetles. Beetles may combine their colour mimicry with behavioural mimicry, acting like the wasps they already closely resemble.",0.6410719,high,2408
Which type of beetle is a pest of potato plants?,Which type of beetle is a pest of potato plants?,Colorado potato beetle,Colorado potato beetle,"* The Colorado potato beetle, Leptinotarsa decemlineata, is a notorious pest of potato plants. Crops are destroyed and the beetle can only be treated by employing expensive pesticides, many of which it has begun to develop resistance to. As well as potatoes, suitable hosts can be a number of plants from the potato family (Solanaceae), such as nightshade, tomato, aubergine and capsicum.",0.46153826,high,2425
How can beetle larvae be differentiated from other insect larvae?,How can beetle larvae be differentiated from other insect larvae?,"their hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body","hardened head, the presence of chewing mouthparts, and spiracles along the sides of the body","Beetle larvae can be differentiated from other insect larvae by their hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body. Like adult beetles, the larvae are varied in appearance, particularly between beetle families. Beetles whose larvae are somewhat flattened and are highly mobile are the ground beetles, some rove beetles, and others; their larvae are described as campodeiform. Some beetle larvae resemble hardened worms with dark head capsules and minute legs. These are elateriform larvae, and are found in the click beetle (Elateridae) and darkling beetle (Tenebrionidae) families. Some elateriform larvae of click beetles are known as wireworms. Beetles in the families of the Scarabaeoidea have short, thick larvae described as scarabaeiform, but more commonly known as grubs.",0.70455194,high,2396
What do beetles eat?,What do beetles eat?,"Some are generalists, eating both plants and animals. Other beetles are highly specialised in their diet.",plants and fungi,"Beetles can be found in almost all habitats, but are not known to occur in the sea or in the polar regions. They interact with their ecosystems in several ways. They often feed on plants and fungi, break down animal and plant debris, and eat other invertebrates. Some species are prey of various animals including birds and mammals. Certain species are agricultural pests, such as the Colorado potato beetle Leptinotarsa decemlineata, the boll weevil Anthonomus grandis, the red flour beetle Tribolium castaneum, and the mungbean or cowpea beetle Callosobruchus maculatus, while other species of beetles are important controls of agricultural pests. For example, coccinellidae (""ladybirds"" or ""ladybugs"") consume aphids, scale insects, thrips, and other plant-sucking insects that damage crops.",0.48030198,high,2377
What are the similarities between beetles and grasshoppers?,What are the similarities between beetles and grasshoppers?,mouthparts,beetles are herbivores,"Many agricultural, forestry, and household insect pests are beetles. These include the following:",0.6217778,high,2424
Are certain species of beetles considered pests?,Are certain species of beetles considered pests?,Yes,yes,"Many agricultural, forestry, and household insect pests are beetles. These include the following:",0.36971638,high,2424
Is a beetle's general anatomy uniform?,Is a beetle's general anatomy uniform?,Yes,yes,"The general anatomy of beetles is quite uniform, although specific organs and appendages may vary greatly in appearance and function between the many families in the order. Like all insects, beetles' bodies are divided into three sections: the head, the thorax, and the abdomen. When viewed from below, the thorax is that part from which all three pairs of legs and both pairs of wings arise. The abdomen is everything posterior to the thorax. When viewed from above, most beetles appear to have three clear sections, but this is deceptive: on the beetle's upper surface, the middle ""section"" is a hard plate called the pronotum, which is only the front part of the thorax; the back part of the thorax is concealed by the beetle's wings. Like all arthropods, beetles are segmented organisms, and all three of the major sections of the body are themselves composed of several further segments, although these are not always readily discernible. This further segmentation is usually best seen on the abdomen.",0.6455655,high,2382
Are beetles endopterygotes?,Are beetles endopterygotes?,yes,yes,Beetles are endopterygotes with complete metamorphosis.,0.23356667,high,2393
